Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem,IDCatAdicional1,IDCatAdicional2,IDCatAdicional3,IDCatAdicional4,IDCatAdicional5
"A","Jogo de Mesa",7403346,"J-MJ-010","Jogo Americano - Xadrez Marrom Floral",600,"Jogo Americano  04 peças e 01 Trilho de mesa. Tecido linhão dupla face. Com camada interna de manta crítica.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica.

<b>Especificações:</b>

Jogo Americano - 04 peças.
Tam.: 0,44 x 0,32m. Peso 100g (aproximado)
Trilho de mesa - 01 peça.
Tam.: 1,70 x 0,38m. Peso 200g (aproximado)
Tecido Linhão
Peso total: 600g (aproximado)

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,125,0,0,0,,,False,False,"","","","","","","","","","",0,,228,"",,0,0,,"","",3,0,"",True,False,0,0,0,"","","","jogo-de-mesa-xadrez-marrom-floral-68871707","","","621692,621699",,,,,
"A","Jogo de Mesa",7404030,"J-MJ-011","Jogo Americano - Xadrez Marrom Folhas",600,"Jogo Americano  04 peças e 01 Trilho de mesa. Tecido linhão dupla face. Com camada interna de manta crítica.
","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em Linhão, dupla face. Com camada interna de manta acrílica.

<b>Especificações:</b>

Jogo Americano - 04 peças.
Tam.: 0,44 x 0,32m. Peso 100g (aproximado)
Trilho de mesa - 01 peça.
Tam.: 1,70 x 0,38m. Peso 200g (aproximado)
Tecido Linhão
Peso total: 600g (aproximado)

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,125,0,0,0,,,False,False,"","","","","","","","","","",0,,228,"",,0,0,,"","",3,0,"",True,True,45,45,0,"","","","jogo-de-mesa-xadrez-marrom-folhas-43853396","","","621692,621699",,,,,
"A","Jogo de Mesa",7404037,"J-MJ-004","Jogo Americano - Xadrez Preto Galinha",340,"Jogo Americano 04 peças e 01 Trilho de mesa.Tecido tricoline,dupla face.Com camada interna de manta acrílica.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.

Confeccionadas em Tricoline, dupla face. Com camada interna de manta acrílica.

<b>Especificações:</b>

Jogo Americano - 04 peças.
Tam.: 0,34 x 0,32m. Peso 50g (aproximado)
Trilho de mesa - 01 peça.
Tam.: 1,60 x 0,35m. Peso 140g (aproximado)
Tecido Tricoline
Peso total: 340g (aproximado)

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,125,0,0,0,,,False,False,"","","","","","","","","","",0,,227,"",,0,0,,"","",3,0,"",True,True,40,35,0,"","","","jogo-de-mesa-xadrez-preto-galinha-americano-82146853","","","621692,621699",,,,,
"A","Jogo de Mesa",7391959,"M-JM-C-0001","Jogo de Mesa - Branco Arabesco, Dupla Face",550,"Conjunto com 04 sousplat e 01 trilho de mesa em algodão misto dupla face, com camada interna de manta acrílica e acabamento em crochê","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>

Sousplat - 04 peças.
Tam.: 0,44m (diâmetro). Peso 100g (aproximado)
Trilho de mesa - 01 peça.
Tam.: 1,60 x 0,35m. Peso 150g (aproximado)
Tecido Algodão misto
Peso total: 550g (aproximado)

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,2,0,True,0,0,150,0,0,0,,,False,False,"","","","","","","","","","199057",0,,201,"",,0,0,,"","",2,0,"",False,False,0,0,0,"","","","jogo-de-mesa--branco-arabesco--dupla-face-10436649","","","621699",,,,,
"A","Jogo de Mesa",7403324,"J-MJ-007","Jogo de Mesa - Livros",675,"Conjunto com  06 Sousplat e 01 Trilho de mesa.Dupla face.Com camada interna de manta acrílica.
Tecido Aquabloc impermeável,acabamento em crochê.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>

06 Sousplat Livros.Tamanho 36 cm. Peso 86g
01 Trilho de mesa.Tamanho 1,45x45.Peso 158g.
Tecido Aquabloc impermeável.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,177,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,42,0,0,"","","","jogo-de-mesa-livros-29034060","","","621691,621699",,,,,
"A","Jogo de Mesa",7374878,"J-MJ -005","Jogo de Mesa - Xadrez Azul",570,"Conjunto com  04 sousplat e 01 Trilho de mesa.Dupla face,acabamento em crochê,com camada interna de manta acrílica.Tecido linho rústico.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em linho rústico, dupla face. Com camada interna de manta acrílica.

<b>Especificações:</b>

Sousplat - 04 peças.
Tam.: 0,38 x 0,37 m. Peso 100g (aproximado)
Trilho de mesa - 01 peça.
Tam.: 1,52 x 0,36 m. Peso 170g (aproximado)
Tecido linho rústico.
Peso total: 570g (aproximado)

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,133,0,0,0,06/03/2021,06/04/2021,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,False,45,45,0,"","","","fuxico-da-zuzu-10915774","","","621689,621699",,,,,
"A","Jogo de Mesa",7403328,"J-MJ-009","Jogo de Mesa - Xadrez Marrom",0,"Conjunto com 04 Sousplat com crochê  e 01 Caminho de mesa.Tecido linhão,dupla face.Com camada interna de manta acrílica e acabamento em crochê.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>
04 Sousplat com crochê.Tamanho:43cm.Peso:121g 
01 Caminho de mesa Tamanho:1,50cmx38cm.Peso:202 g
Tecido Linhão

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,133,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,0,0,0,"","","","jogo-de-mesa-xadrez-marrom-24274844","","","621691,621699",,,,,
"A","Jogo de Mesa",7404033,"J-MJ-003","Jogo de Mesa - Xadrez Preto - Galinha com Crochê",442,"Conjunto com 04 Sousplat com crochê e 01 Trilho de mesa.Tecido tricoline,dupla face,com camada interna de manta acrílica,acabamento em crochê.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>
04 Sousplat com crochê.Tamanho:39 cm. Peso:77g 
01 Trilho de mesa.Tamanho:1,60cmx35 cm. Peso:133g
Tecido Tricoline.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,133,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,40,40,0,"","","","jogo-de-mesa-xadrez-preto-galinha-com-croche-40954226","","","621691,621699",,,,,
"A","Jogo de Mesa",7374408,"M-JM-008","Jogo de Mesa - Xadrez Preto - Quadrado Galinha",400,"Conjunto com 04 Sousplat.01 Trilho Americano.Tecido tricoline,dupla face.Com camada interna de manta acrílica.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto,dupla face.Com camada interna de manta acrílica ,Tecido Tricoline.

<b>Especificações:</b>
04 Peças Sousplat,Xadrez Preto Galinha.Tamanho:32x34 cm.Peso:43g
01Trilho Americano.Tamanho:40x31 cm.Peso:76g.Tecido Tricoline.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,125,0,0,0,06/03/2021,06/04/2021,False,False,"","","","","","","","","","",0,,228,"",,0,0,,"","",0,0,"",True,False,40,30,0,"","","","fuxico-da-zuzu-77175539","","","621689,621699",,,,,
"A","Jogo de Mesa",7404032,"J-MJ-002","Jogo de Mesa - Xadrez Preto Galinha",275,"Conjunto com 04 Sousplat comum  e 01 Trilho de mesa. Tecido tricoline dupla face,com camada interna de manta acrílica.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>

04 Sousplat comum.Tamanho 35 cm.Peso 48g.
01 Trilho de mesa.Tamanho1,60x35 cm. Peso 133g
Tecido Tricoline.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,105,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,40,40,0,"","","","jogo-de-mesa-xadrez-preto-galinha-94440859","","","621691,621699",,,,,
"A","Jogo de Mesa",7367897,"J-MJ-005","Jogo de Mesa - Xadrez Rosa",0,"Conjunto com 04 sousplat e 01 Trilho de mesa.Tecido misto,dupla face,linho rústico.
Com  camada interna de manta acrílica,acabamento em crochê.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>
04 Sousplat Xadrez Rosa,acabamento em crochê.Tamanho:36 cm.Peso:61g.
01 Trilho retangular.Tamanho:1,12cmx35cm.Peso:190g.Tecido linho rústico

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,2,0,True,0,0,150,0,0,0,05/03/2021,30/04/2021,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,42,42,0,"","","","","","","621691,621699",,,,,
"A","Jogo de Mesa",7402713,"J-MJ-006","Jogo de Mesa - Xadrez Rosa Animais",445,"Conjunto com 04 Sousplat e 01 Trilho retangular.Tecido linho rústico, dupla face.Com camada interna de manta acrílica,acabamento em crochê.
Tecido linho rústico.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>
04 Sousplat Xadrez Rosa Animais.Tam:36 cm.Peso:61g.
01 Trilho retangular.Tam:1,12cmx35 cm.Peso:190g
Tecido linho rústico.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,133,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,42,45,0,"","","","jogo-de-mesa-xadrez-rosa-estampa-animais-12742252","","","621691,621699",,,,,
"A","Mesa",7374134,"M-JM-014","Jogo de Chá",600,"Sousplat branco arabesco chá 4 Peças 
Sousplat café 4 Peças.
1 Centro de mesa.Tecido Tricoline misto,dupla face,acabamento em crochê.
","Sousplat branco arabesco chá 4 Peças Tam 28cm ,Peso 64g.Sousplat café 4 Peças Tam 23cm Peso 34g.1Centro de mesa.Tam 73x40.Peso 34g.Tecido Tricoline misto,dupla face, em seu interior com manta acrílica,acabamento em crochê.Sofisticação e elegância.Peças artesanais.unicas e funcionais

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,180,0,0,0,06/03/2021,06/04/2021,False,False,"IMG-20210213-WA0024.jpg","IMG-20210213-WA0024.jpg,IMG-20210213-WA0027.jpg","IMG-20210213-WA0021.jpg","","","","","","","199057",0,,201,"",,0,0,,"","",3,0,"",True,False,40,45,0,"","","","","","","",,,,,
"A","Mesa",7404453,"J-TM-016","Toalha de Mesa - Xadrez Azul",0,"","","",False,1,0,True,0,0,0,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",True,False,0,0,0,"","","","toalha-de-mesa-xadrez-azul-28918094","","","",,,,,
"A","Toalhas",7404223,"J-TM-015","Toalha de Mesa - Xadrez Marrom com Crochê",685,"01 Toalha Xadrez Marrom  com Crochê.Tecido Linhão,dupla face,acabamento em crochê.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto, dupla face. Com camada interna de manta acrílica e acabamento em crochê.

<b>Especificações:</b>
01 Toalha Xadrez Marrom com Crochê 
Tam:: 1,80m  Peso:685g (aproximado)
Tecido Linhão.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso*.","",False,1,0,True,0,0,150,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,True,18,18,0,"","","","toalha-de-mesa-xadrez-marrom-com-croche-38306826","","","621691,621699",,,,,
"A","Toalhas",7404362,"J-TM-017","Toalha de Mesa - Xadrez Rosa",0,"01Toalha Xadrez Rosa.Tecido linho rústico,dupla face e acabamento com estampa animais.","Peças artesanais com produção limitada.

Decorativas, práticas, funcionais e fáceis de lavar.

Confeccionadas em algodão misto,dupla face.

<b>Especificações:</b>
01 Toalha Xadrez Rosa
Tam:1,82x1,32m.Peso 685g  (aproximado)
Tecido linho rústico,acabamento com estampa animais.

*Por nossos produtos serem artesanais, pode haver pequenas diferenças no tamanho e peso.","",False,1,0,True,0,0,150,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",3,0,"",True,False,0,0,0,"","","","toalha-de-mesa-xadrez-rosa-8898563","","","621692,621699",,,,,
